SeriesCode,Topic,IndicatorName,ShortDefinition,LongDefinition,UnitOfMeasure,industryCode,measureUnit,code
DT.DIS.DPNG.CD,Economic Policy & Debt: External debt: Disbursements,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",,"Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,DIS.DPNG
DT.DIS.DPPG.CD,Economic Policy & Debt: External debt: Disbursements,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",,"Public and publicly guaranteed long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,DIS.DPPG
DT.DIS.DIMF.CD,Economic Policy & Debt: External debt: Disbursements,"IMF purchases (DIS, current US$)",,"IMF purchases are total drawings on the General Resources Account of the IMF during the year specified, excluding drawings in the reserve tranche. Data are in current U.S. dollars.",,DT,CD,DIS.DIMF
DT.DIS.PNGB.CD,Economic Policy & Debt: External debt: Disbursements,"PNG, bonds (DIS, current US$)",,Nonguaranteed long-term debt from bonds that are privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,,DT,CD,DIS.PNGB
DT.DIS.PNGC.CD,Economic Policy & Debt: External debt: Disbursements,"PNG, commercial banks and other creditors (DIS, current US$)",,Nonguaranteed long-term commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,,DT,CD,DIS.PNGC
DT.DIS.BLAT.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, bilateral (DIS, current US$)",,"Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",,DT,CD,DIS.BLAT
DT.DIS.BLTC.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, bilateral concessional (DIS, current US$)",,"Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",,DT,CD,DIS.BLTC
DT.DIS.PBND.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, bonds (DIS, current US$)",,Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,,DT,CD,DIS.PBND
DT.DIS.PCBK.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, commercial banks (DIS, current US$)",,Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,,DT,CD,DIS.PCBK
DT.DIS.MIBR.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, IBRD (DIS, current US$)",,Public and publicly guaranteed debt outstanding from the International Bank for Reconstruction and Development (IBRD) is nonconcessional. Nonconcessional debt excludes loans with an original grant element of 25 percent or more. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,,DT,CD,DIS.MIBR
DT.DIS.MIDA.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, IDA (DIS, current US$)",,"Public and publicly guaranteed debt outstanding from the International Development Association (IDA) is concessional. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",,DT,CD,DIS.MIDA
DT.DIS.MLAT.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, multilateral (DIS, current US$)",,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",,DT,CD,DIS.MLAT
DT.DIS.MLTC.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, multilateral concessional (DIS, current US$)",,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",,DT,CD,DIS.MLTC
DT.DIS.OFFT.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, official creditors (DIS, current US$)",,"Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",,DT,CD,DIS.OFFT
DT.DIS.PROP.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, other private creditors (DIS, current US$)",,"Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",,DT,CD,DIS.PROP
DT.DIS.PRVT.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, private creditors (DIS, current US$)",,"Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",,DT,CD,DIS.PRVT
DT.INT.DIMF.CD,Economic Policy & Debt: External debt: Interest,"IMF charges (INT, current US$)",,"IMF charges cover interest payments with respect to all uses of IMF resources, excluding those resulting from drawings in the reserve tranche. Data are in current U.S. dollars.",,DT,CD,INT.DIMF
DT.INT.DLXF.CD,Economic Policy & Debt: External debt: Interest,"Interest payments on external debt, long-term (INT, current US$)",,"Interest payments on long-term debt are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,INT.DLXF
DT.INT.DPNG.CD,Economic Policy & Debt: External debt: Interest,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",,"Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,INT.DPNG
DT.INT.DPPG.CD,Economic Policy & Debt: External debt: Interest,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",,"Public and publicly guaranteed long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,INT.DPPG
DT.INT.DSTC.CD,Economic Policy & Debt: External debt: Interest,"Interest payments on external debt, short-term (INT, current US$)",,"Interest payments on short-term debt are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. This item includes interest paid on long-term debt, IMF charges, and interest paid on short-term debt. Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.",,DT,CD,INT.DSTC
DT.INT.DECT.CD,Economic Policy & Debt: External debt: Interest,"Interest payments on external debt, total (INT, current US$)",,"Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. This item includes interest paid on long-term debt, IMF charges, and interest paid on short-term debt. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.",,DT,CD,INT.DECT
DT.INT.PNGB.CD,Economic Policy & Debt: External debt: Interest,"PNG, bonds (INT, current US$)",,"Nonguaranteed long-term debt from bonds that are privately placed. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.PNGB
DT.INT.PNGC.CD,Economic Policy & Debt: External debt: Interest,"PNG, commercial banks and other creditors (INT, current US$)",,"Nonguaranteed long-term commercial bank loans from private banks and other private financial institutions. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.PNGC
DT.INT.BLAT.CD,Economic Policy & Debt: External debt: Interest,"PPG, bilateral (INT, current US$)",,"Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.BLAT
DT.INT.BLTC.CD,Economic Policy & Debt: External debt: Interest,"PPG, bilateral concessional (INT, current US$)",,"Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.BLTC
DT.INT.PBND.CD,Economic Policy & Debt: External debt: Interest,"PPG, bonds (INT, current US$)",,"Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.PBND
DT.INT.PCBK.CD,Economic Policy & Debt: External debt: Interest,"PPG, commercial banks (INT, current US$)",,"Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.PCBK
DT.INT.MIBR.CD,Economic Policy & Debt: External debt: Interest,"PPG, IBRD (INT, current US$)",,"Public and publicly guaranteed debt outstanding from the International Bank for Reconstruction and Development (IBRD) is nonconcessional. Nonconcessional debt excludes loans with an original grant element of 25 percent or more. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.MIBR
DT.INT.MIDA.CD,Economic Policy & Debt: External debt: Interest,"PPG, IDA (INT, current US$)",,"Public and publicly guaranteed debt outstanding from the International Development Association (IDA) is concessional. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.MIDA
DT.INT.MLAT.CD,Economic Policy & Debt: External debt: Interest,"PPG, multilateral (INT, current US$)",,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.MLAT
DT.INT.MLTC.CD,Economic Policy & Debt: External debt: Interest,"PPG, multilateral concessional (INT, current US$)",,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.MLTC
DT.INT.OFFT.CD,Economic Policy & Debt: External debt: Interest,"PPG, official creditors (INT, current US$)",,"Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.OFFT
DT.INT.PROP.CD,Economic Policy & Debt: External debt: Interest,"PPG, other private creditors (INT, current US$)",,"Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.PROP
DT.INT.PRVT.CD,Economic Policy & Debt: External debt: Interest,"PPG, private creditors (INT, current US$)",,"Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",,DT,CD,INT.PRVT
DT.NFL.PCBO.CD,Economic Policy & Debt: External debt: Net flows,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",,Commercial bank and other lending includes net commercial bank lending (public and publicly guaranteed and private nonguaranteed) and other private credits. Data are in current U.S. dollars.,,DT,CD,NFL.PCBO
DT.NFL.NEBR.CD,Economic Policy & Debt: External debt: Net flows,"EBRD, private nonguaranteed (NFL, current US$)",,Nonguaranteed long-term debt privately placed from the European Bank for Reconstruction and Development (EBRD). Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.,,DT,CD,NFL.NEBR
DT.NFL.NIFC.CD,Economic Policy & Debt: External debt: Net flows,"IFC, private nonguaranteed (NFL, current US$)",,Nonguaranteed long-term debt privately placed from the International Finance Corporation (IFC). Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.,,DT,CD,NFL.NIFC
DT.NFL.BLAT.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, bilateral (NFL, current US$)",,"Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",,DT,CD,NFL.BLAT
DT.NFL.MIBR.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, IBRD (NFL, current US$)",,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IBRD is the International Bank for Reconstruction and Development, the founding and largest member of the World Bank Group. Data are in current U.S. dollars.",,DT,CD,NFL.MIBR
DT.NFL.MIDA.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, IDA (NFL, current US$)",,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IDA is the International Development Association, the concessional loan window of the World Bank Group. Data are in current U.S. dollars.",,DT,CD,NFL.MIDA
DT.NFL.IMFC.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, IMF concessional (NFL, current US$)",,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IMF is the International Monetary Fund, which provides concessional lending through its Extended Credit Facility, Standby Credit Facility, and Rapid Credit Facility. Data are in current U.S. dollars.",,DT,CD,NFL.IMFC
DT.NFL.IMFN.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, IMF nonconcessional (NFL, current US$)",,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. IMF is the International Monetary Fund, which provides nonconcessional lending through the credit it provides to its members, mainly to meet balance of payments needs. Data are in current U.S. dollars.",,DT,CD,NFL.IMFN
DT.NFL.MLAT.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, multilateral (NFL, current US$)",,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",,DT,CD,NFL.MLAT
DT.NFL.MOTH.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, others (NFL, current US$)",,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. Others is a residual category in the World Bank's Debtor Reporting System. It includes such institutions as the Caribbean Development Fund, Council of Europe, European Development Fund, Islamic Development Bank, Nordic Development Fund, and the like. Data are in current U.S. dollars.",,DT,CD,NFL.MOTH
DT.NFL.RDBC.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, RDB concessional (NFL, current US$)",,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. Concessional financial flows cover disbursements made through concessional lending facilities. Regional development banks are the African Development Bank, in Tunis, Tunisia, which serves all of Africa, including North Africa; the Asian Development Bank, in Manila, Philippines, which serves South and Central Asia and East Asia and Pacific; the European Bank for Reconstruction and Development, in London, United Kingdom, which serves Europe and Central Asia; and the Inter-American Development Bank, in Washington, D.C., which serves the Americas. Aggregates include amounts for economies not specified elsewhere. Data are in current U.S. dollars.",,DT,CD,NFL.RDBC
DT.NFL.RDBN.CD,Economic Policy & Debt: External debt: Net flows,"Net financial flows, RDB nonconcessional (NFL, current US$)",,"Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal. Nonconcessional financial flows cover all disbursements except those made through concessional lending facilities. Regional development banks are the African Development Bank, in Tunis, Tunisia, which serves all of Africa, including North Africa; the Asian Development Bank, in Manila, Philippines, which serves South and Central Asia and East Asia and Pacific; the European Bank for Reconstruction and Development, in London, United Kingdom, which serves Europe and Central Asia; and the Inter-American Development Bank, in Washington, D.C., which serves the Americas. Aggregates include amounts for economies not specified elsewhere. Data are in current U.S. dollars.",,DT,CD,NFL.RDBN
DT.NFL.DLXF.CD,Economic Policy & Debt: External debt: Net flows,"Net flows on external debt, long-term (NFL, current US$)",,"Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,NFL.DLXF
DT.NFL.DPNG.CD,Economic Policy & Debt: External debt: Net flows,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",,"Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,NFL.DPNG
DT.NFL.DPPG.CD,Economic Policy & Debt: External debt: Net flows,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",,"Public and publicly guaranteed long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,NFL.DPPG
DT.NFL.DSTC.CD,Economic Policy & Debt: External debt: Net flows,"Net flows on external debt, short-term (NFL, current US$)",,Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.,,DT,CD,NFL.DSTC
DT.NFL.DECT.CD,Economic Policy & Debt: External debt: Net flows,"Net flows on external debt, total (NFL, current US$)",,"Net flows on external debt are disbursements on long-term external debt and IMF purchases minus principal repayments on long-term external debt and IMF repurchases up to 1984. Beginning in 1985 this line includes the change in stock of short-term debt (including interest arrears for long-term debt). Thus, if the change in stock is positive, a disbursement is assumed to have taken place; if negative, a repayment is assumed to have taken place. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,NFL.DECT
DT.NFL.PNGB.CD,Economic Policy & Debt: External debt: Net flows,"PNG, bonds (NFL, current US$)",,Nonguaranteed long-term debt from bonds that are privately placed. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.,,DT,CD,NFL.PNGB
DT.NFL.PNGC.CD,Economic Policy & Debt: External debt: Net flows,"PNG, commercial banks and other creditors (NFL, current US$)",,Nonguaranteed long-term commercial bank loans from private banks and other private financial institutions. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.,,DT,CD,NFL.PNGC
DT.NFL.BOND.CD,Economic Policy & Debt: External debt: Net flows,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",,Bonds are securities issued with a fixed rate of interest for a period of more than one year. They include net flows through cross-border public and publicly guaranteed and private nonguaranteed bond issues. Data are in current U.S. dollars.,,DT,CD,NFL.BOND
DT.NFL.BLTC.CD,Economic Policy & Debt: External debt: Net flows,"PPG, bilateral concessional (NFL, current US$)",,"Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",,DT,CD,NFL.BLTC
DT.NFL.PBND.CD,Economic Policy & Debt: External debt: Net flows,"PPG, bonds (NFL, current US$)",,Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.,,DT,CD,NFL.PBND
DT.NFL.PCBK.CD,Economic Policy & Debt: External debt: Net flows,"PPG, commercial banks (NFL, current US$)",,Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.,,DT,CD,NFL.PCBK
DT.NFL.MLTC.CD,Economic Policy & Debt: External debt: Net flows,"PPG, multilateral concessional (NFL, current US$)",,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",,DT,CD,NFL.MLTC
DT.NFL.OFFT.CD,Economic Policy & Debt: External debt: Net flows,"PPG, official creditors (NFL, current US$)",,"Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",,DT,CD,NFL.OFFT
DT.NFL.PROP.CD,Economic Policy & Debt: External debt: Net flows,"PPG, other private creditors (NFL, current US$)",,"Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",,DT,CD,NFL.PROP
DT.NFL.PRVT.CD,Economic Policy & Debt: External debt: Net flows,"PPG, private creditors (NFL, current US$)",,"Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",,DT,CD,NFL.PRVT
DT.NTR.DLXF.CD,Economic Policy & Debt: External debt: Net transfers,"Net transfers on external debt, long-term (NTR, current US$)",,"Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,NTR.DLXF
DT.NTR.DPNG.CD,Economic Policy & Debt: External debt: Net transfers,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",,"Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.",,DT,CD,NTR.DPNG
