CountryCode,ShortName,CurrencyUnit,SpecialNotes,Region,IncomeGroup,NationalAccountsBaseYear,NationalAccountsReferenceYear,SnaPriceValuation,LendingCategory,OtherGroups,SystemOfNationalAccounts,AlternativeConversionFactor,PppSurveyYear,BalanceOfPaymentsManualInUse,ExternalDebtReportingStatus,SystemOfTrade,GovernmentAccountingConcept,ImfDataDisseminationStandard,LatestPopulationCensus,LatestHouseholdSurvey,VitalRegistrationComplete,LatestAgriculturalCensus,LatestIndustrialData,LatestTradeData,LatestWaterWithdrawalData
FRA,France,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,,Yes,2010,2010,2013,2007
PYF,French Polynesia,CFP franc,,East Asia & Pacific,High income: nonOECD,1990,,,,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,,,Special trade system,,,2007,,Yes,,0,2013,
GAB,Gabon,Central African CFA franc,Based on IMF data and official government statistics; the new base year is 2001.,Sub-Saharan Africa,Upper middle income,2001,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1993,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2012",,,0,2009,2005
GEO,Georgia,Georgian lari,,Europe & Central Asia,Lower middle income,,1996,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1990,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2005; Reproductive Health Survey (RHS), 2005",Yes,,2011,2013,2008
DEU,Germany,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2010,2013,2007
GHA,Ghana,New Ghanaian cedi,"In 2010, the Ghana Statistical Service revised the base year for Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.",Sub-Saharan Africa,Lower middle income,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1973,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2014",,"2013, 2014",2003,2013,2000
GRC,Greece,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2009,2007,2013,2007
GRL,Greenland,Danish krone,,Europe & Central Asia,High income: nonOECD,1990,,,,,Country uses the 1993 System of National Accounts methodology.,,,,,General trade system,,,2010,,Yes,,0,2013,
GRD,Grenada,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Reproductive Health Survey (RHS), 1985",Yes,2012,0,2009,2005
GUM,Guam,U.S. dollar,,East Asia & Pacific,High income: nonOECD,,,,,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,,,General trade system,,,2010,,Yes,2007,0,,
GTM,Guatemala,Guatemalan quetzal,,Latin America & Caribbean,Lower middle income,2001,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2002,"Reproductive Health Survey (RHS), 2008/09",Yes,2013,0,2013,2006
GIN,Guinea,Guinean franc,,Sub-Saharan Africa,Low income,2003,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2014,"Demographic and Health Survey (DHS), 2012",,,0,2008,2001
GNB,Guinea-Bissau,West African CFA franc,"In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.",Sub-Saharan Africa,Low income,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2014",,,0,2005,2000
GUY,Guyana,Guyana dollar,"In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.",Latin America & Caribbean,Lower middle income,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2014",,,0,2013,2010
HTI,Haiti,Haitian gourde,"Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",Latin America & Caribbean,Low income,1986,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1991,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2003,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013",,"2008, 2009",0,1997,2000
HPC,Heavily indebted poor countries (HIPC),,Heavily indebted poor countries aggregate.,,,,,,,,,,,,,,,,,,,,0,,
HIC,High income,,"High income group aggregate. High-income economies are those in which 2014 GNI per capita was $12,736 or more.",,,,,,,,,,,,,,,,,,,,0,,
NOC,High income: nonOECD,,"High income nonOECD aggregate. High-income economies are those in which 2014 GNI per capita was $12,736 or more.",,,,,,,,,,,,,,,,,,,,0,,
OEC,High income: OECD,,"High income OECD members aggregate. High-income economies are those in which 2014 GNI per capita was $12,736 or more.",,,,,,,,,,,,,,,,,,,,0,,
HND,Honduras,Honduran lempira,,Latin America & Caribbean,Lower middle income,2000,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1988,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2011/12",,2013,0,2012,2003
HKG,"Hong Kong SAR, China",Hong Kong dollar,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",East Asia & Pacific,High income: nonOECD,,2013,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,,2011,2012,
HUN,Hungary,Hungarian forint,"April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003",Yes,2010,2010,2013,2007
ISL,Iceland,Iceland krona,,Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2005,2013,2005
IND,India,Indian rupee,Fiscal year end: March 31; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2011/12. India reports using SNA 2008.,South Asia,Lower middle income,11-Dec,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2005/06",,2011,2010,2013,2010
IDN,Indonesia,Indonesian rupiah,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. New base year is 2010.,East Asia & Pacific,Lower middle income,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2012",,2013,2011,2013,2000
IRN,Iran,Iranian rial,Fiscal year end: March 20; reporting period for national accounts data: FY.,Middle East & North Africa,Upper middle income,04-May,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,"1980, 2002",2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Iran's Multiple Indicator Demographic and Health Survey (IrMIDHS), 2010",Yes,2013,2010,2011,2004
IRQ,Iraq,Iraqi dinar,,Middle East & North Africa,Upper middle income,2007,,Value added at producer prices (VAP),IBRD,,Country uses the 1968 System of National Accounts methodology.,"1997, 2004",2011,"IMF Balance of Payments Manual, 6th edition.",,,,General Data Dissemination System (GDDS),1997,"Multiple Indicator Cluster Survey (MICS), 2011",,"2011, 2012",2011,,2000
IRL,Ireland,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2010,2013,1979
IMY,Isle of Man,Pound sterling,,Europe & Central Asia,High income: nonOECD,2003,,,,,Country uses the 1968 System of National Accounts methodology.,,,,,,,,2011,,Yes,,0,,
ISR,Israel,Israeli new shekel,Based on official government statistics for chain linked series; the new reference year is 2010.,Middle East & North Africa,High income: OECD,,2010,Value added at producer prices (VAP),,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,,Yes,,2010,2013,2004
ITA,Italy,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,,Yes,2010,2010,2013,2000
JAM,Jamaica,Jamaican dollar,"April 2013 database update: Based on official government statistics, national accounts data were revised for 2002 onward; the base year changed to 2007.",Latin America & Caribbean,Upper middle income,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011",,2007,0,2013,1993
JPN,Japan,Japanese yen,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income: OECD,,2010,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,Yes,2010,2010,2013,2001
JOR,Jordan,Jordanian dinar,,Middle East & North Africa,Upper middle income,1994,,Value added at basic prices (VAB),IBRD,,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,Special Data Dissemination Standard (SDDS),2004,"Demographic and Health Survey (DHS), 2012",,2007,2011,2013,2005
KAZ,Kazakhstan,Kazakh tenge,The new reference year for chain linked series is 2005.,Europe & Central Asia,Upper middle income,,2005,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1987,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2010/11",Yes,,0,2013,2010
KEN,Kenya,Kenyan shilling,Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2009.,Sub-Saharan Africa,Lower middle income,2009,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2014",,2009,2011,2010,2003
KIR,Kiribati,Australian dollar,"Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.",East Asia & Pacific,Lower middle income,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Kiribati Demographic and Health Survey (KDHS), 2009",,,0,2012,
KOR,Korea,Korean won,The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.,East Asia & Pacific,High income: OECD,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,Yes,2010,2009,2013,2002
KSV,Kosovo,Euro,"Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).",Europe & Central Asia,Lower middle income,2008,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,,,Actual,,,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2013/14",,,0,,
KWT,Kuwait,Kuwaiti dinar,Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2010.,Middle East & North Africa,High income: nonOECD,2010,,Value added at basic prices (VAB),,,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Family Health Survey (FHS), 1996",Yes,,2011,2013,2002
KGZ,Kyrgyz Republic,Kyrgyz som,,Europe & Central Asia,Lower middle income,,1995,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1990,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2014",Yes,2014,2010,2013,2006
LAO,Lao PDR,Lao kip,,East Asia & Pacific,Lower middle income,2002,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,,2005,"Multiple Indicator Cluster Survey (MICS), 2011/12",,11-Jul,0,,2005
LCN,Latin America & Caribbean (all income levels),,Latin America and Caribbean regional aggregate (including high-income economies).,,,,,,,,,,,,,,,,,,,,0,,
LAC,Latin America & Caribbean (developing only),,Latin America and Caribbean regional aggregate (does not include high-income economies).,,,,,,,,,,,,,,,,,,,,0,,
LVA,Latvia,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: nonOECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,1987,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003",Yes,2010,2011,2013,2002
LDC,Least developed countries: UN classification,,Least developed countries (UN classification) aggregate.,,,,,,,,,,,,,,,,,,,,0,,
LBN,Lebanon,Lebanese pound,,Middle East & North Africa,Upper middle income,1997,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),1943,"Family Health Survey (FHS), 2004",Yes,2011,2007,2013,2005
LSO,Lesotho,Lesotho loti,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2014",,2010,0,2009,2000
LBR,Liberia,U.S. dollar,National accounts local currency data have been revised to be reported in U.S. dollars.,Sub-Saharan Africa,Low income,2000,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2013",,2008,0,,2000
LBY,Libya,Libyan dinar,National accounts data are revised from 2010 to 2013 based on IMF and World Bank staff estimates.,Middle East & North Africa,Upper middle income,2003,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,1986,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,,General Data Dissemination System (GDDS),2006,"Family Health Survey (FHS), 2007",,"2013, 2014",0,2010,2000
LIE,Liechtenstein,Swiss franc,,Europe & Central Asia,High income: nonOECD,1990,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,,,,Special trade system,,,2010,,Yes,,0,,
LTU,Lithuania,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: nonOECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,1990,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2011,2013,2007
LMY,Low & middle income,,"Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2014 GNI per capita was $12,735 or less.",,,,,,,,,,,,,,,,,,,,0,,
LIC,Low income,,"Low income group aggregate. Low-income economies are those in which 2014 GNI per capita was $1,045 or less.",,,,,,,,,,,,,,,,,,,,0,,
LMC,Lower middle income,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2014 GNI per capita was between $1,046 and $4,125.",,,,,,,,,,,,,,,,,,,,0,,
LUX,Luxembourg,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2010,2013,1999
MAC,"Macao SAR, China",Macao pataca,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",East Asia & Pacific,High income: nonOECD,2012,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,,Yes,,2011,2012,
MKD,Macedonia,Macedonian denar,New base year is 2005.,Europe & Central Asia,Upper middle income,2005,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2011",Yes,2007,2010,2013,2007
MDG,Madagascar,Malagasy ariary,,Sub-Saharan Africa,Low income,1984,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),1993,"Malaria Indicator Survey (MIS), 2013",,,2006,2013,2000
MWI,Malawi,Malawi kwacha,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2009.",Sub-Saharan Africa,Low income,2009,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2008,"Malaria Indicator Survey (MIS), 2014",,"2006, 2007",2010,2013,2005
MYS,Malaysia,Malaysian ringgit,,East Asia & Pacific,Upper middle income,2010,,Value added at producer prices (VAP),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey (WHS), 2003",Yes,2015,2010,2013,2005
MDV,Maldives,Maldivian rufiyaa,April 2012 database update: The Department of National Planning revised national accounts data for 2000 onward; the base year changed to 2003.,South Asia,Upper middle income,2003,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2014,"Demographic and Health Survey (DHS), 2009",Yes,,0,2013,2008
MLI,Mali,West African CFA franc,,Sub-Saharan Africa,Low income,1987,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2012/13",,,0,2012,2006
MLT,Malta,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Middle East & North Africa,High income: nonOECD,,2005,Value added at basic prices (VAB),,Euro area,Country uses the 1993 System of National Accounts methodology.,,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,Yes,2010,2009,2013,2002
MHL,Marshall Islands,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,03-Apr,,Value added at basic prices (VAB),IDA,,Country uses the 1968 System of National Accounts methodology.,,2011 (household consumption only).,,,General trade system,,General Data Dissemination System (GDDS),2011,"Republic of the Marshall Islands Demographic and Health Survey (RMIDHS), 2007",,2011,0,,
MRT,Mauritania,Mauritanian ouguiya,Based on official statistics from the Ministry of Economic Affairs and Development; the base year has been returned to 2004.,Sub-Saharan Africa,Lower middle income,2004,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2011",,,0,2013,2005
MUS,Mauritius,Mauritian rupee,,Sub-Saharan Africa,Upper middle income,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003",Yes,"2013, 2014",2011,2013,2003
MEX,Mexico,Mexican peso,The new base year is 2008.,Latin America & Caribbean,Upper middle income,2008,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"National Survey of Demographic Dynamics (ENADID), 2009",,2007,2010,2013,2011
FSM,Micronesia,U.S. dollar,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008.",East Asia & Pacific,Lower middle income,03-Apr,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,,,,,General Data Dissemination System (GDDS),2010,,,,0,,
MEA,Middle East & North Africa (all income levels),,Middle East and North Africa regional aggregate (including high-income economies).,,,,,,,,,,,,,,,,,,,,0,,
MNA,Middle East & North Africa (developing only),,Middle East and North Africa regional aggregate (does not include high-income economies).,,,,,,,,,,,,,,,,,,,,0,,
MIC,Middle income,,"Middle income group aggregate. Middle-income economies are those in which 2014 GNI per capita was between $1,046 and $12,735.",,,,,,,,,,,,,,,,,,,,0,,
MDA,Moldova,Moldovan leu,,Europe & Central Asia,Lower middle income,,1996,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,1990,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey (MICS), 2012",Yes,2011,2011,2013,2007
MCO,Monaco,Euro,,Europe & Central Asia,High income: nonOECD,1990,,,,,Country uses the 1993 System of National Accounts methodology.,,,,,Special trade system,,,2008,,Yes,,0,,2009
MNG,Mongolia,Mongolian tugrik,The new base year is 2010.,East Asia & Pacific,Upper middle income,2010,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2013",Yes,2012,2011,2013,2009
